"ITTER107","Territorio","SEXISTAT1","Sesso","ETA1","Classe di età","TITOLO_STUDIO","Titolo di studio","CITTADINANZA","Cittadinanza","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"IT","Italia","9","totale","Y_GE15","15 anni e più","99","totale","ITL","italiano-a","2020-Q4","T4-2020",20644.886,,
"ITCD","Nord","1","maschi","Y_GE15","15 anni e più","99","totale","ITL","italiano-a","2019","2019",5999.235,,
"ITCD","Nord","1","maschi","Y_GE15","15 anni e più","99","totale","ITL","italiano-a","2019-Q1","T1-2019",5992.837,,
"ITCD","Nord","1","maschi","Y_GE15","15 anni e più","99","totale","ITL","italiano-a","2019-Q2","T2-2019",6017.363,,
"ITCD","Nord","1","maschi","Y_GE15","15 anni e più","99","totale","ITL","italiano-a","2019-Q4","T4-2019",5986.018,,
"ITCD","Nord","1","maschi","Y_GE15","15 anni e più","99","totale","ITL","italiano-a","2019-Q3","T3-2019",6000.723,,
"ITCD","Nord","1","maschi","Y_GE15","15 anni e più","99","totale","ITL","italiano-a","2020","2020",5900.768,,
"ITCD","Nord","1","maschi","Y_GE15","15 anni e più","99","totale","ITL","italiano-a","2020-Q2","T2-2020",5905.748,,
"ITCD","Nord","1","maschi","Y_GE15","15 anni e più","99","totale","ITL","italiano-a","2020-Q1","T1-2020",5958.051,,
"ITCD","Nord","1","maschi","Y_GE15","15 anni e più","99","totale","ITL","italiano-a","2020-Q3","T3-2020",5888.109,,
"ITCD","Nord","1","maschi","Y_GE15","15 anni e più","99","totale","ITL","italiano-a","2020-Q4","T4-2020",5851.164,,
"ITCD","Nord","2","femmine","Y_GE15","15 anni e più","99","totale","ITL","italiano-a","2019","2019",4725.112,,
"ITCD","Nord","2","femmine","Y_GE15","15 anni e più","99","totale","ITL","italiano-a","2019-Q1","T1-2019",4685.335,,
"ITCD","Nord","2","femmine","Y_GE15","15 anni e più","99","totale","ITL","italiano-a","2019-Q2","T2-2019",4758.318,,
"ITCD","Nord","2","femmine","Y_GE15","15 anni e più","99","totale","ITL","italiano-a","2019-Q4","T4-2019",4762.19,,
"ITCD","Nord","2","femmine","Y_GE15","15 anni e più","99","totale","ITL","italiano-a","2019-Q3","T3-2019",4694.604,,
"ITCD","Nord","2","femmine","Y_GE15","15 anni e più","99","totale","ITL","italiano-a","2020","2020",4661.273,,
"ITCD","Nord","2","femmine","Y_GE15","15 anni e più","99","totale","ITL","italiano-a","2020-Q2","T2-2020",4641.603,,
"ITCD","Nord","2","femmine","Y_GE15","15 anni e più","99","totale","ITL","italiano-a","2020-Q1","T1-2020",4732.468,,
"ITCD","Nord","2","femmine","Y_GE15","15 anni e più","99","totale","ITL","italiano-a","2020-Q3","T3-2020",4582.372,,
"ITCD","Nord","2","femmine","Y_GE15","15 anni e più","99","totale","ITL","italiano-a","2020-Q4","T4-2020",4688.65,,
"ITCD","Nord","9","totale","Y_GE15","15 anni e più","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2019","2019",169.138,,
"ITCD","Nord","9","totale","Y_GE15","15 anni e più","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2019-Q1","T1-2019",161.616,,
"ITCD","Nord","9","totale","Y_GE15","15 anni e più","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2019-Q2","T2-2019",182.125,,
"ITCD","Nord","9","totale","Y_GE15","15 anni e più","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2019-Q4","T4-2019",160.998,,
"ITCD","Nord","9","totale","Y_GE15","15 anni e più","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2019-Q3","T3-2019",171.815,,
"ITCD","Nord","9","totale","Y_GE15","15 anni e più","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2020","2020",153.597,,
"ITCD","Nord","9","totale","Y_GE15","15 anni e più","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2020-Q2","T2-2020",170.964,,
"ITCD","Nord","9","totale","Y_GE15","15 anni e più","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2020-Q1","T1-2020",145.411,,
"ITCD","Nord","9","totale","Y_GE15","15 anni e più","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2020-Q3","T3-2020",157.823,,
"ITCD","Nord","9","totale","Y_GE15","15 anni e più","3","licenza di scuola elementare, nessun titolo di studio","ITL","italiano-a","2020-Q4","T4-2020",140.19,,
"ITCD","Nord","9","totale","Y_GE15","15 anni e più","4","licenza di scuola media","ITL","italiano-a","2019","2019",2687.167,,
"ITCD","Nord","9","totale","Y_GE15","15 anni e più","4","licenza di scuola media","ITL","italiano-a","2019-Q1","T1-2019",2659.376,,
"ITCD","Nord","9","totale","Y_GE15","15 anni e più","4","licenza di scuola media","ITL","italiano-a","2019-Q2","T2-2019",2716.364,,
"ITCD","Nord","9","totale","Y_GE15","15 anni e più","4","licenza di scuola media","ITL","italiano-a","2019-Q4","T4-2019",2651.698,,
"ITCD","Nord","9","totale","Y_GE15","15 anni e più","4","licenza di scuola media","ITL","italiano-a","2019-Q3","T3-2019",2721.232,,
"ITCD","Nord","9","totale","Y_GE15","15 anni e più","4","licenza di scuola media","ITL","italiano-a","2020","2020",2594.987,,
"ITCD","Nord","9","totale","Y_GE15","15 anni e più","4","licenza di scuola media","ITL","italiano-a","2020-Q2","T2-2020",2619.513,,
"ITCD","Nord","9","totale","Y_GE15","15 anni e più","4","licenza di scuola media","ITL","italiano-a","2020-Q1","T1-2020",2608.517,,
"ITCD","Nord","9","totale","Y_GE15","15 anni e più","4","licenza di scuola media","ITL","italiano-a","2020-Q3","T3-2020",2620.396,,
"ITCD","Nord","9","totale","Y_GE15","15 anni e più","4","licenza di scuola media","ITL","italiano-a","2020-Q4","T4-2020",2531.522,,
"ITCD","Nord","9","totale","Y_GE15","15 anni e più","7","diploma","ITL","italiano-a","2019","2019",5253.507,,
"ITCD","Nord","9","totale","Y_GE15","15 anni e più","7","diploma","ITL","italiano-a","2019-Q1","T1-2019",5230.065,,
"ITCD","Nord","9","totale","Y_GE15","15 anni e più","7","diploma","ITL","italiano-a","2019-Q2","T2-2019",5257.056,,
"ITCD","Nord","9","totale","Y_GE15","15 anni e più","7","diploma","ITL","italiano-a","2019-Q4","T4-2019",5268.95,,
"ITCD","Nord","9","totale","Y_GE15","15 anni e più","7","diploma","ITL","italiano-a","2019-Q3","T3-2019",5257.958,,
"ITCD","Nord","9","totale","Y_GE15","15 anni e più","7","diploma","ITL","italiano-a","2020","2020",5160.427,,
"ITCD","Nord","9","totale","Y_GE15","15 anni e più","7","diploma","ITL","italiano-a","2020-Q2","T2-2020",5108.709,,
